player_name,salary_2023,note_2023,number,position,team,height,college,country
Jordin Canada,74305,,21,Guard,Los Angeles Sparks,5-6,UCLA,USA
Layshia Clarendon,74305,,25,Guard,Los Angeles Sparks,5-9,California,USA
Joyner Holmes,74305,,TBD,Forward,,6-3,University of Texas at Austin,USA
Zia Cooke,68295,,1,Guard,Los Angeles Sparks,5-9,South Carolina,USA
Nia Clouden,67634,,2,Guard,Los Angeles Sparks,5-9,Michigan State,USA
Karlie Samuelson,55729,,44,Guard,Los Angeles Sparks,6-0,Stanford,USA
Rae Burrell,1219,,TBD,Guard-Forward,,6-2,Tennessee,USA
Napheesa Collier,202154,,24,Forward,Minnesota Lynx,6-1,Connecticut,USA
Kayla McBride,201984,,21,Guard,Minnesota Lynx,5-11,Notre Dame,USA
Aerial Powers,201984,,3,Guard,Minnesota Lynx,5-11,Michigan State,USA
Natalie Achonwa,155100,,11,Forward,Minnesota Lynx,6-3,Notre Dame,Canada
Tiffany Mitchell,135000,,25,Guard,Minnesota Lynx,5-9,South Carolina,USA
Jessica Shepard,120000,,10,Forward,Minnesota Lynx,6-4,Notre Dame,USA
Bridget Carleton,91000,,6,Forward,Minnesota Lynx,6-1,Iowa State,Canada
Nikolina Milić,90000,,31,Forward,Minnesota Lynx,6-3,,Bosnia and Herzegovina
Diamond Miller,74305,,1,Forward,Minnesota Lynx,6-3,Maryland,USA
Lindsay Allen,74305,,2,Guard,Minnesota Lynx,5-8,Notre Dame,USA
Rachel Banham,74305,,15,Guard,Minnesota Lynx,5-10,Minnesota,USA
Dorka Juhász,65290,,14,Forward,Minnesota Lynx,6-5,Connecticut,Hungary
Jonquel Jones,211150,,35,Forward,New York Liberty,6-6,George Washington,Bahamas
Betnijah Laney,201984,,44,Guard-Forward,New York Liberty,6-0,Rutgers,USA
Courtney Vandersloot,194000,,22,Guard,New York Liberty,5-8,Gonzaga,USA
Breanna Stewart,180000,,30,Forward,New York Liberty,6-4,Connecticut,USA
Stefanie Dolson,160000,,31,Center,New York Liberty,6-5,Connecticut,USA
Kayla Thornton,109716,,5,Forward,New York Liberty,6-1,Texas-El Paso,USA
Sabrina Ionescu,86701,,20,Guard,New York Liberty,5-11,Oregon,USA
Jocelyn Willoughby,79690,,13,Forward-Guard,New York Liberty,6-0,Virginia,USA
Nyara Sabally,71300,,8,Forward,New York Liberty,6-5,Oregon,Germany
Marine Johannès,62285,,23,Guard,New York Liberty,5-10,,France
Han Xu,62285,,21,Center,New York Liberty,6-11,,China
Epiphanny Prince,2908,,TBD,Guard,,5-9,Rutgers,USA
Diana Taurasi,234936,,3,Guard,Phoenix Mercury,6-0,Connecticut,USA
Skylar Diggins-Smith,234350,,4,Guard,Phoenix Mercury,5-9,Notre Dame,USA
Brittney Griner,165100,,42,Center,Phoenix Mercury,6-9,Baylor,USA
Sophie Cunningham,150000,,9,Guard,Phoenix Mercury,6-1,Missouri,USA
Brianna Turner,150000,,21,Forward,Phoenix Mercury,6-3,Notre Dame,USA
Moriah Jefferson,137500,,8,Guard,Phoenix Mercury,5-6,Connecticut,USA
Michaela Onyenwere,75407,,12,Forward,Phoenix Mercury,6-0,UCLA,USA
Megan Gustafson,74305,,10,Center,Phoenix Mercury,6-3,Iowa,USA
Shey Peddy,74305,,11,Guard,Phoenix Mercury,5-7,Temple,USA
Kadi Sissoko,62285,,30,Forward,Phoenix Mercury,6-2,Southern California,USA
Sug Sutton,62285,,1,Guard,Phoenix Mercury,5-8,Texas-Austin,USA
Evina Westbrook,62285,,2,Guard,Phoenix Mercury,6-0,Connecticut,USA
Liz Dixon,1219,,20,Forward,Connecticut Sun,6-5,Louisville,USA
Jewell Loyd,234936,,24,Guard,Seattle Storm,5-11,Notre Dame,USA
Mercedes Russell,160000,,21,Center,Seattle Storm,6-6,Tennessee,USA
Ezi Magbegor,159650,,13,Center,Seattle Storm,6-4,Melbourne,Australia
Kia Nurse,142500,,0,Guard,Seattle Storm,6-0,Connecticut,Canada
Sami Whitcomb,142500,,32,Guard,Seattle Storm,5-10,Washington,Australia
Yvonne Turner,74305,,22,Guard,Seattle Storm,5-10,Nebraska,USA
Jordan Horston,68295,,23,Guard-Forward,Seattle Storm,6-2,Tennessee,USA
Dulcy Fankam Mendjiadeu,65290,,12,Forward-Center,Seattle Storm,6-3,South Florida,Cameroon
Jade Melbourne,62285,,6,Guard,Seattle Storm,5-11,,Australia
Kaila Charles,62285,,3,Guard-Forward,Seattle Storm,6-1,Maryland,USA
Ivana Dojkić,62285,,18,Guard,Seattle Storm,5-11,,Croatia
Arella Guirantes,62285,,11,Guard,Seattle Storm,5-11,Rutgers,USA
Elena Delle Donne,234350,,11,Forward-Guard,Washington Mystics,6-5,Delaware,USA
Brittney Sykes,190000,,15,Guard,Washington Mystics,5-9,Syracuse,USA
Natasha Cloud,190000,,9,Guard,Washington Mystics,5-10,St. Joseph's (PA),USA
Myisha Hines-Allen,175100,,2,Forward,Washington Mystics,6-1,Louisville,USA
Ariel Atkins,175000,,7,Guard,Washington Mystics,5-10,Texas-Austin,USA
Shatori Walker-Kimbrough,95000,,32,Guard,Washington Mystics,5-10,Maryland,USA
Kristi Toliver,75000,,20,Guard,Washington Mystics,5-7,Maryland,USA
Tianna Hawkins,74305,,21,Forward,Washington Mystics,6-3,Maryland,USA
Amanda Zahui B,74305,,42,Center,Washington Mystics,6-4,Minnesota,Sweden
Shakira Austin,73584,,0,Center-Forward,Washington Mystics,6-5,Mississippi,USA
Li Meng,62285,,3,Guard,Washington Mystics,6-0,,China
