player_name,signing_status,games,games_start,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,two_pointers_made,two_pointers_attempted,two_pointer_pct,three_pointers_made,three_pointers_attempted,three_pointer_pct,free_throws_made,free_throws_attempted,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,fouls
Satou Sabally,--,11,6,239,124,41,103,0.39799999999999996,31,60,0.517,10,43,0.233,32,35,0.914,9,44,53,23,25,5,2,35
Theresa Plaisance,UFA,31,2,401,124,43,116,0.371,12,27,0.444,31,89,0.348,7,10,0.7,16,64,80,15,20,8,13,41
Tianna Hawkins,UFA,25,0,320,122,44,114,0.386,30,61,0.49200000000000005,14,53,0.264,20,21,0.9520000000000001,15,44,59,20,30,9,2,43
Olivia Nelson-Ododa,Rookie,30,6,436,120,47,84,0.56,47,84,0.56,0,0,,26,37,0.703,34,54,88,11,30,9,24,77
Natalie Achonwa,UFA,22,0,332,116,47,91,0.516,47,89,0.528,0,2,0,22,27,0.815,25,65,90,37,22,9,7,36
Jantel Lavender,UFA,27,4,329,103,45,110,0.409,40,86,0.465,5,24,0.20800000000000002,8,12,0.667,26,63,89,24,24,3,4,30
Nia Coffey,UFA,16,16,336,102,35,101,0.34700000000000003,26,70,0.371,9,31,0.29,23,31,0.742,7,76,83,12,35,10,2,35
Betnijah Laney,UFA,9,6,255,101,38,90,0.42200000000000004,27,61,0.44299999999999995,11,29,0.379,14,16,0.875,1,29,30,25,24,4,1,24
Lexie Hull,Rookie,26,4,334,100,28,105,0.267,20,62,0.32299999999999995,8,43,0.18600000000000003,36,40,0.9,11,29,40,18,18,15,2,47
Maya Caldwell,UFA,9,7,214,98,38,74,0.514,20,42,0.47600000000000003,18,32,0.563,4,5,0.8,5,17,22,20,14,7,2,15
Veronica Burton,Rookie,36,6,548,94,25,76,0.32899999999999996,13,33,0.39399999999999996,12,43,0.27899999999999997,32,32,1,17,36,53,68,35,34,11,51
Awak Kuier,Rookie,33,0,416,91,34,86,0.395,30,65,0.462,4,21,0.19,19,31,0.613,24,59,83,29,19,13,29,26
Kiah Stokes,UFA,31,4,476,70,26,61,0.426,21,37,0.568,5,24,0.20800000000000002,13,16,0.813,29,107,136,20,18,14,25,39
Iliana Rupert,Rookie,17,0,223,65,25,54,0.46299999999999997,11,16,0.688,14,38,0.368,1,3,0.33299999999999996,11,28,39,15,9,7,0,35
Kristi Toliver,UFA,11,10,218,65,19,51,0.373,6,15,0.4,13,36,0.361,14,16,0.875,0,9,9,34,25,4,0,14
Lindsay Allen,UFA,9,0,134,60,20,38,0.526,12,24,0.5,8,14,0.5710000000000001,12,13,0.9229999999999999,0,14,14,31,7,2,0,11
Nia Clouden,Rookie,28,0,250,58,18,53,0.34,6,24,0.25,12,29,0.414,10,17,0.588,2,21,23,21,12,6,1,26
Ruthy Hebard,--,24,0,232,56,25,49,0.51,25,49,0.51,0,0,,6,8,0.75,8,33,41,12,13,8,3,29
Evina Westbrook,Reserved,20,2,204,56,20,53,0.377,15,33,0.455,5,20,0.25,11,15,0.733,1,19,20,23,15,8,7,18
Joyner Holmes,UFA,26,0,205,53,19,61,0.311,14,39,0.359,5,22,0.22699999999999998,10,13,0.769,6,29,35,12,19,8,2,20
Alanna Smith,UFA,9,1,116,39,14,42,0.33299999999999996,8,17,0.47100000000000003,6,25,0.24,5,7,0.7140000000000001,8,16,24,5,8,8,6,17
